"Source:","/Users/Soham/Desktop/School/ECE 397 B2/KiCad project/BatBot/BatBot.sch"
"Date:","Wednesday, September 30, 2020 at 10:15:36 PM"
"Tool:","Eeschema (5.1.6-0)"
"Component Count:","55"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"ANT1","AMCA31-2R450G-S1F-T3","ANT_AMCA31-2R450G-S1F-T3","1.4mm","",""
"C1","GCJ21BR71A106KE01L","CAPC2012X145N","","",""
"C2","CL31A107MQHNNNE","CAPC3216X180N","","",""
"C3","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C4","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C5","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C6","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C7","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C8","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C9","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C10","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C11","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C12","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C13","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C14","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C15","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C16","06035C103MAT2A","CAPC1608X90N","","",""
"C17","GCM21BR11E105KA42L","CAPC2012X140N","","",""
"C18","GCE21BR71H104KA01L","CAPC2012X145N","","",""
"C19","GRM188C71E225KE11J","CAPC1608X100N","","",""
"C20","GRM188C71E225KE11J","CAPC1608X100N","","",""
"C21","GRM0335C1H8R0DA01D","CAPC0603X33N","","",""
"C22","GRM0335C1H8R0DA01D","CAPC0603X33N","","",""
"C23","06035C333KAT2A","CAPC1608X90N","","",""
"C24","06035C103MAT2A","CAPC1608X90N","","",""
"C25","0402ZC102KAT2A","CAPC1005X56N","","",""
"C26","CC0603BRNPO0BN4R7","CAPC1608X90","","",""
"C27","EMK212B7225MG-T","CAPC2012X135N","","",""
"C28","GRM0335C1H8R0DA01D","CAPC0603X33N","","",""
"C29","GRM0335C1H8R0DA01D","CAPC0603X33N","","",""
"C30","AC0402BRNPO9BN1R5","CAPC1005X55N","","",""
"C31","CC0603CRNPO8BN1R0","CAPC1608X90","","",""
"C32","06035C103MAT2A","CAPC1608X90N","","",""
"C33","0805YC104K4Z4A","CAPC2012X140N","","",""
"C34","0805YC104K4Z4A","CAPC2012X140N","","",""
"D1","LTST-C190KRKT","digikey-footprints:0603","http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/LTST-C190KRKT.pdf","Lite-On Inc.",""
"D2","LTST-C190KRKT","digikey-footprints:0603","http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/LTST-C190KRKT.pdf","Lite-On Inc.",""
"D3","LTST-C190KRKT","digikey-footprints:0603","http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/LTST-C190KRKT.pdf","Lite-On Inc.",""
"J1","54550-1271","Molex-54550-1271-*","http://www.molex.com/webdocs/datasheets/pdf/en-us/0545501271_FFC_FPC_CONNECTORS.pdf","",""
"L1","CE201210-8N2J","INDC2012X103N","","",""
"L2","AQ1052N7S-T","INDC1006X55N","","",""
"L3","AIMC-0805-3N9S-T","INDC2012X115N","","",""
"R1","1-1622826-8","RESC1005X35N","0402","",""
"R2","8-1676481-3","RESC1608X50N","Compliant","",""
"R3","RC0201FR-07100RL","YAG_R0201_YAG","","",""
"R4","1-1622826-8","RESC1005X35N","0402","",""
"R5","8-1676481-3","RESC1608X50N","Compliant","",""
"R6","1-1622826-8","RESC1005X35N","0402","",""
"S1","FSM8JH","SW_FSM8JH","C10","",""
"U1","STM32F439ZIYx","Package_CSP:ST_WLCSP-143_Die419","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00077036.pdf","",""
"U2","nRF24L01P","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf","",""
"U3","MPU-9250","Sensor_Motion:InvenSense_QFN-24_3x3mm_P0.4mm","https://store.invensense.com/datasheets/invensense/MPU9250REV1.0.pdf","",""
"U4","LM1117-3.3","","http://www.ti.com/lit/ds/symlink/lm1117.pdf","",""
"X1","NX3225GD-8MHZ-STD-CRA-3","digikey-footprints:SMD-2_3.2x2.5mm","http://www.ndk.com/images/products/catalog/c_NX3225GD-STD-CRA-3_e.pdf","NDK America, Inc.",""
"X2","XRCHA16M000F0A01R0","OSC_XRCHA16M000F0A01R0","Murata","",""
